;Flughafen_Airline;Datum;mean_Preis;
1;Amsterdam-AUA;01.08.2019;84;0
2;Amsterdam-AUA;02.08.2019;84;0
3;Amsterdam-AUA;03.08.2019;84;0
4;Amsterdam-AUA;04.08.2019;84;0
5;Amsterdam-AUA;05.08.2019;84;0
6;Amsterdam-AUA;06.08.2019;84;0
7;Amsterdam-AUA;07.08.2019;84;0
8;Amsterdam-AUA;08.08.2019;84;0
9;Amsterdam-AUA;09.08.2019;84;0
10;Amsterdam-AUA;10.08.2019;84;0
11;Amsterdam-AUA;11.08.2019;84;0
12;Amsterdam-AUA;12.08.2019;84;0
13;Amsterdam-AUA;13.08.2019;84;0
14;Amsterdam-AUA;14.08.2019;84;0
15;Amsterdam-AUA;15.08.2019;84;0
16;Amsterdam-AUA;16.08.2019;84;0
17;Amsterdam-AUA;17.08.2019;84;0
18;Amsterdam-AUA;18.08.2019;84;0
19;Amsterdam-AUA;19.08.2019;84;0
20;Amsterdam-AUA;20.08.2019;84;0
21;Amsterdam-AUA;21.08.2019;84;0
22;Amsterdam-AUA;22.08.2019;86,66666667;0,031746032
23;Amsterdam-AUA;23.08.2019;84;-0,030769231
24;Amsterdam-AUA;24.08.2019;84;0
25;Amsterdam-AUA;25.08.2019;84;0
26;Amsterdam-AUA;26.08.2019;84;0
27;Amsterdam-AUA;27.08.2019;84;0
28;Amsterdam-AUA;28.08.2019;84;0
29;Amsterdam-AUA;29.08.2019;84;0
30;Amsterdam-AUA;30.08.2019;84;0
31;Amsterdam-AUA;31.08.2019;84;0
32;Amsterdam-AUA;01.09.2019;84;0
33;Amsterdam-AUA;02.09.2019;84;0
34;Amsterdam-AUA;03.09.2019;84;0
35;Amsterdam-AUA;04.09.2019;84;0
36;Amsterdam-AUA;05.09.2019;83,66666667;-0,003968254
37;Amsterdam-AUA;06.09.2019;83;-0,007968127
38;Amsterdam-AUA;07.09.2019;83;0
39;Amsterdam-AUA;08.09.2019;83;0
40;Amsterdam-AUA;09.09.2019;83;0
41;Amsterdam-AUA;10.09.2019;83;0
42;Amsterdam-AUA;11.09.2019;83;0
43;Amsterdam-AUA;12.09.2019;83;0
44;Amsterdam-AUA;13.09.2019;83;0
45;Amsterdam-AUA;14.09.2019;83;0
46;Amsterdam-AUA;15.09.2019;83;0
47;Amsterdam-AUA;16.09.2019;83;0
48;Amsterdam-AUA;17.09.2019;83;0
49;Amsterdam-AUA;18.09.2019;83;0
50;Amsterdam-AUA;19.09.2019;83;0
51;Amsterdam-AUA;20.09.2019;83;0
52;Amsterdam-AUA;21.09.2019;83;0
53;Amsterdam-AUA;22.09.2019;83;0
